Gamma_e,delta_a,peak_index,peak_position
0.01,16.0,0,-7.999998440175291
0.01,16.0,1,7.999842024113154
0.01,16.5,0,-8.249998487518056
0.01,16.5,1,8.249846820717709
0.01,17.0,0,-8.499998532099717
0.01,17.0,1,8.499851334372021
0.01,17.5,0,-8.749998574157123
0.01,17.5,1,8.749855589414983
0.01,18.0,0,-8.999998613900944
0.01,18.0,1,8.999859607472187
0.01,18.5,0,-9.249998651519196
0.01,18.5,1,9.249863407819696
0.01,19.0,0,-9.499998687180197
0.01,19.0,1,9.499867007697429
0.01,19.5,0,-9.749998721035094
0.01,19.5,1,9.749870422571945
0.01,20.0,0,-9.999998753219996
0.01,20.0,1,9.999873666354198
0.01,20.5,0,-10.2499987838578
0.01,20.5,1,10.249876751590124
0.01,21.0,0,-10.499998813059756
0.01,21.0,1,10.499879689644372
0.01,21.5,0,-10.749998840926823
0.01,21.5,1,10.749882490803532
0.01,22.0,0,-10.999998867550827
0.01,22.0,1,10.99988516442461
0.01,22.5,0,-11.24999889301548
0.01,22.5,1,11.249887719026825
0.01,23.0,0,-11.499998917397253
0.01,23.0,1,11.499890162389551
0.01,23.5,0,-11.749998940766146
0.01,23.5,1,11.749892501625526
0.01,24.0,0,-11.999998963186364
0.01,24.0,1,11.999894743256984
0.01,24.5,0,-12.2499989847169
0.01,24.5,1,12.249896893269566
0.0178,0.5,0,-0.24991991812546574
0.0178,0.5,1,0.22909820171547549
0.0178,1.0,0,-0.4999354001093067
0.0178,1.0,1,0.49418565221232774
0.0178,1.5,0,-0.7499531006639649
0.0178,1.5,1,0.7466030671636298
0.0178,2.0,0,-0.9999596899964001
0.0178,2.0,1,0.9975785403107427
0.0178,2.5,0,-1.2499695551438363
0.0178,2.5,1,1.2481077938196752
0.0178,3.0,0,-1.4999728686612699
0.0178,3.0,1,1.4984428755532329
0.0178,3.5,0,-1.7499763352200794
0.0178,3.5,1,1.7486766481460438
0.0178,4.0,0,-1.9999805073966708
0.0178,4.0,1,1.9988480827554713
0.0178,4.5,0,-2.2499823297520756
0.0178,4.5,1,2.2489797368995847
0.0178,5.0,0,-2.499984107175655
0.0178,5.0,1,2.499084120336412
0.0178,5.5,0,-2.749985892015386
0.0178,5.5,1,2.749168967000268
0.0178,6.0,0,-2.9999868908540765
0.0178,6.0,1,2.9992393244206075
0.0178,6.5,0,-3.2499878866488614
0.0178,6.5,1,3.249298631324505
0.0178,7.0,0,-3.4999887425816603
0.0178,7.0,1,3.499349313559372
0.0178,7.5,0,-3.7499894860550467
0.0178,7.5,1,3.749392821596759
0.0178,8.0,0,-3.999990137781332
0.0178,8.0,1,3.9994313994802315
0.0178,8.5,0,-4.249990713699159
0.0178,8.5,1,4.249465109874337
0.0178,9.0,0,-4.499991226269279
0.0178,9.0,1,4.499495034369528
0.0178,9.5,0,-4.749991685371314
0.0178,9.5,1,4.749521778569812
0.0178,10.0,0,-4.999992098937411
0.0178,10.0,1,4.999545825129232
0.0178,10.5,0,-5.2499924734084376
0.0178,10.5,1,5.249567563548511
0.0178,11.0,0,-5.499992814067964
0.0178,11.0,1,5.499587311621222
0.0178,11.5,0,-5.749993125290514
0.0178,11.5,1,5.749605331254991
0.0178,12.0,0,-5.999993410726807
0.0178,12.0,1,5.9996213829895675
0.0178,12.5,0,-6.249993673438537
0.0178,12.5,1,6.249637021272632
0.0178,13.0,0,-6.499993916039908
0.0178,13.0,1,6.499651028562205
0.0178,13.5,0,-6.749994140752457
0.0178,13.5,1,6.749663993384897
0.0178,14.0,0,-6.999994349482609
0.0178,14.0,1,6.999676028097507
0.0178,14.5,0,-7.249994543875566
0.0178,14.5,1,7.249687229443417
0.0178,15.0,0,-7.499994725358515
0.0178,15.0,1,7.499697674973
0.0178,15.5,0,-7.7499948951755515
0.0178,15.5,1,7.749707456233478
0.0178,16.0,0,-7.999995054416098
0.0178,16.0,1,7.999716618299813
0.0178,16.5,0,-8.249995204038195
0.0178,16.5,1,8.249725223339382
0.0178,17.0,0,-8.499995344887711
0.0178,17.0,1,8.499733320703017
0.0178,17.5,0,-8.749995477714286
0.0178,17.5,1,8.749740954072774
0.0178,18.0,0,-8.999995603184617
0.0178,18.0,1,8.999748162252036
0.0178,18.5,0,-9.249995721893622
0.0178,18.5,1,9.249754979830355
0.0178,19.0,0,-9.49999583437384
0.0178,19.0,1,9.499761437744072
0.0178,19.5,0,-9.749995941103386
0.0178,19.5,1,9.749767563742815
0.0178,20.0,0,-9.999996042512741
0.0178,20.0,1,9.999773382789277
0.0178,20.5,0,-10.249996138990523
0.0178,20.5,1,10.249778917403452
0.0178,21.0,0,-10.499996230888465
0.0178,21.0,1,10.499784187957859
0.0178,21.5,0,-10.749996318525678
0.0178,21.5,1,10.749789212920154
0.0178,22.0,0,-10.99999640219235
0.0178,22.0,1,10.999794009075343
0.0178,22.5,0,-11.249996482152955
0.0178,22.5,1,11.249800015154305
0.0178,23.0,0,-11.49999655864903
0.0178,23.0,1,11.499802974782876
0.0178,23.5,0,-11.749996631901615
0.0178,23.5,1,11.7498071710553
0.0178,24.0,0,-11.999996702113377
0.0178,24.0,1,11.999811192226867
0.0178,24.5,0,-12.249996769470483
0.0178,24.5,1,12.24981504903758
0.0316,0.5,0,-0.24975324979458782
0.0316,0.5,1,0.20613686099095715
0.0316,1.0,0,-0.4998020654426267
0.0316,1.0,1,0.48930782565628445
0.0316,1.5,0,-0.7498497552085027
0.0316,1.5,1,0.74383302846381
0.0316,2.0,0,-0.9998825306480288
0.0316,2.0,1,0.9956191694149711
0.0316,2.5,0,-1.249903965766133
0.0316,2.5,1,1.2465838919832346
0.0316,3.0,0,-1.4999204413912544
0.0316,3.0,1,1.4971937918453688
0.0316,3.5,0,-1.7499294574936999
0.0316,3.5,1,1.7476132698236002
0.0316,4.0,0,-1.999938579127992
0.0316,4.0,1,1.9979245940137635
0.0316,4.5,0,-2.2499452214122133
0.0316,4.5,1,2.248162651670649
0.0316,5.0,0,-2.499950581247974
0.0316,5.0,1,2.4983506355010126
0.0316,5.5,0,-2.749954994183457
0.0316,5.5,1,2.7485036483616496
0.0316,6.0,0,-2.9999586890681185
0.0316,6.0,1,2.998631506488462
0.0316,6.5,0,-3.2499618266522097
0.0316,6.5,1,3.2487373681102794
0.0316,7.0,0,-3.4999645236786865
0.0316,7.0,1,3.498828687927038
0.0316,7.5,0,-3.7499668664041947
0.0316,7.5,1,3.7489076274238426
0.0316,8.0,0,-3.9999689200655206
0.0316,8.0,1,3.9989765543311027
0.0316,8.5,0,-4.249969585827994
0.0316,8.5,1,4.249037266767315
0.0316,9.0,0,-4.49997139291618
0.0316,9.0,1,4.499091155345582
0.0316,9.5,0,-4.749973796776286
0.0316,9.5,1,4.749139312663899
0.0316,10.0,0,-4.999975099994933
0.0316,10.0,1,4.9991826093094796
0.0316,10.5,0,-5.2499762800114
0.0316,10.5,1,5.24922174762069
0.0316,11.0,0,-5.49997735347187
0.0316,11.0,1,5.499257300550908
0.0316,11.5,0,-5.7499783341588
0.0316,11.5,1,5.749289740225227
0.0316,12.0,0,-5.999979233580243
0.0316,12.0,1,5.999319459163374
0.0316,12.5,0,-6.249980061419639
0.0316,12.5,1,6.249346786507741
0.0316,13.0,0,-6.499980825883088
0.0316,13.0,1,6.499372000240796
0.0316,13.5,0,-6.749981533970336
0.0316,13.5,1,6.749395336825407
0.0316,14.0,0,-6.999982191688305
0.0316,14.0,1,6.999416998660399
