Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.0316,11.5,11.4998132803918,0.0462155618214707,1.46347624135067,0.0,0,-5.749906640202119
0.0316,11.5,11.4998132803918,0.0462155618214707,1.46347624135067,0.0,1,5.749906640196618
0.0316,12.0,11.9998211670611,0.0462155853771755,1.46347075155339,0.0,0,-5.999910583537615
0.0316,12.0,11.9998211670611,0.0462155853771755,1.46347075155339,0.0,1,5.999910583531352
0.0316,12.5,12.4998284990444,0.0462157011655575,1.46347208376444,0.0,0,-6.249914249530187
0.0316,12.5,12.4998284990444,0.0462157011655575,1.46347208376444,0.0,1,6.249914249522969
0.0316,13.0,12.9998354038204,0.0461822137396353,1.46347119471247,0.0,0,-6.499917701919197
0.0316,13.0,12.9998354038204,0.0461822137396353,1.46347119471247,0.0,1,6.499917701910192
0.0316,13.5,13.4998411895838,0.0462154679582041,1.46347345067288,0.0,0,-6.749920594801962
0.0316,13.5,13.4998411895838,0.0462154679582041,1.46347345067288,0.0,1,6.749920594792102
0.0316,14.0,13.9998469507077,0.0462153661551639,1.46347268656087,0.0,0,-6.999923475365072
0.0316,14.0,13.9998469507077,0.0462153661551639,1.46347268656087,0.0,1,6.9999234753536
0.0316,14.5,14.4998523448105,0.046215334936472,1.4634682988672,0.0,0,-7.249926172417717
0.0316,14.5,14.4998523448105,0.046215334936472,1.4634682988672,0.0,1,7.249926172404699
0.0316,15.0,14.9998573983962,0.0461821394356698,1.46347131114745,0.0,0,-7.49992869921192
0.0316,15.0,14.9998573983962,0.0461821394356698,1.46347131114745,0.0,1,7.499928699197638
0.0316,15.5,15.4998617864881,0.046215383872902,1.46347058450096,0.0,0,-7.749930893259278
0.0316,15.5,15.4998617864881,0.046215383872902,1.46347058450096,0.0,1,7.749930893243811
0.0316,16.0,15.9998660726097,0.0462152451730389,1.46347357703171,0.0,0,-7.9999330363216
0.0316,16.0,15.9998660726097,0.0462152451730389,1.46347357703171,0.0,1,7.999933036305587
0.0316,16.5,16.4998703163295,0.0462152702820732,1.46346683942976,0.0,0,-8.249935158183119
0.0316,16.5,16.4998703163295,0.0462152702820732,1.46346683942976,0.0,1,8.24993515816515
0.0316,17.0,16.9998742371959,0.046182027432144,1.46347060326246,0.0,0,-8.49993711861807
0.0316,17.0,16.9998742371959,0.046182027432144,1.46347060326246,0.0,1,8.4999371185983
0.0316,17.5,17.4998778406147,0.0462152717192918,1.46347438807583,0.0,0,-8.749938920329265
0.0316,17.5,17.4998778406147,0.0462152717192918,1.46347438807583,0.0,1,8.749938920307432
0.0316,18.0,17.9998812374655,0.0461820000330586,1.46346926199485,0.0,0,-8.999940618756634
0.0316,18.0,17.9998812374655,0.0461820000330586,1.46346926199485,0.0,1,8.999940618732474
0.0316,18.5,18.499881392058,0.0469752075662871,1.51713136027079,0.0,0,-9.249940696054061
0.0316,18.5,18.499881392058,0.0469752075662871,1.51713136027079,0.0,1,9.249940696029217
0.0316,19.0,18.9998873702919,0.0462151521893165,1.46346772243648,0.0,0,-9.499943685174
0.0316,19.0,18.9998873702919,0.0462151521893165,1.46346772243648,0.0,1,9.499943685146969
0.0316,19.5,19.4998904241405,0.0461819904868113,1.46346864627246,0.0,0,-9.749945212100615
0.0316,19.5,19.4998904241405,0.0461819904868113,1.46346864627246,0.0,1,9.749945212070475
0.0316,20.0,19.9998930163305,0.0462152104479782,1.46347101461547,0.0,0,-9.999946508197963
0.0316,20.0,19.9998930163305,0.0462152104479782,1.46347101461547,0.0,1,9.99994650816482
0.0316,20.5,20.4998955643002,0.0462151843814595,1.46346975116685,0.0,0,-10.249947782185329
0.0316,20.5,20.4998955643002,0.0462151843814595,1.46346975116685,0.0,1,10.24994778215062
0.0316,21.0,20.9998982671118,0.0461819227893085,1.4634662574869,0.0,0,-10.499949133593825
0.0316,21.0,20.9998982671118,0.0461819227893085,1.4634662574869,0.0,1,10.499949133555987
0.0316,21.5,21.4999005962056,0.0461818705504891,1.4634702613642,0.0,0,-10.7499502981435
0.0316,21.5,21.4999005962056,0.0461818705504891,1.4634702613642,0.0,1,10.74995029810314
0.0316,22.0,21.9999029624083,0.0461819402024139,1.46346708160026,0.0,0,-10.999951481247706
0.0316,22.0,21.9999029624083,0.0461819402024139,1.46346708160026,0.0,1,10.99995148120466
0.0316,22.5,22.49990500927,0.0461821170772137,1.46346767618136,0.0,0,-11.249952504681648
0.0316,22.5,22.49990500927,0.0461821170772137,1.46346767618136,0.0,1,11.24995250463505
