P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.048028943595194,0.221689207373712,0.12442220029061,6.59801213284946,0,0.0178,5,4.99542268914241,8,25,8042.21732997894
0.0480298471877093,0.221811521441387,0.124527178086005,6.59514936988977,0,0.0178,5.5,5.49583195932061,2,25,2771.77657270432
0.0480325231581696,0.219459793788963,0.122892496937585,6.65324575289811,0,0.0178,6,5.9962923689071,3,25,4181.77550387383
0.0480457306785575,0.219533838914748,0.123354990314884,6.64479886204888,0,0.0178,6.5,6.49655539312011,1,25,2650.33289003372
0.0480938854614927,0.208852542692707,0.117249575115723,6.90167211775231,0,0.0178,7,6.99716544897802,3,25,5646.5641348362
0.0485279144175795,0.170016755791364,0.0980966006186791,8.07407720615739,0,0.0178,7.5,7.49831047260953,5,25,7418.00163769722
0.0495900107525087,0.154244951525283,0.0902875553439764,8.81339110833702,0,0.0178,8,7.998715675751,1,25,3045.22873616219
0.0498576039260597,0.165475941371622,0.098313588352191,8.30094078952741,0,0.0178,8.5,8.49852318241292,5,25,6876.95178580284
0.0507812053903995,0.163099088180498,0.0967037182540772,8.48398375473311,0,0.0178,9,8.99865132420586,9,25,8498.40066695213
0.0513449866032387,0.167515867809211,0.0995995964100528,8.33755270963105,0,0.0178,9.5,9.49862106075972,3,25,5002.69561815262
0.0509048285711323,0.184679257170159,0.112853244265951,7.61695808126242,0,0.0178,10,9.99826446945686,3,25,5045.38929009438
0.0518974398716397,0.182035475623984,0.110081716521212,7.79770182385504,0,0.0178,10.5,10.498414161103,10,25,9309.98058700562
0.0535984005364436,0.173506836172022,0.0995176352698174,8.33716350158698,0,0.0178,11,10.9987383998335,6,25,7028.87120985985
0.0533825239005715,0.184995442718364,0.109283119555239,7.84102415752112,0,0.0178,11.5,11.4985069809625,2,25,2939.80408978462
0.0535662128838336,0.191775117823251,0.114033769988264,7.61643842372578,0,0.0178,12,11.9984117500483,4,25,5005.18470048904
