Gamma_e,delta_a,delta_f,OmegaP,OmegaM,Mu,peak_index,peak_position
0.0316,12.0,11.9980442919778,0.211610896972292,0.12581086209259,0.0,1,5.999022145989381
0.0316,12.5,12.4978030246525,0.228286879555136,0.141067525498242,0.0,0,-6.248901512326723
0.0316,12.5,12.4978030246525,0.228286879555136,0.141067525498242,0.0,1,6.248901512326724
0.0316,13.0,12.9976823425998,0.235024418437898,0.146708612717901,0.0,0,-6.498841171300387
0.0316,13.0,12.9976823425998,0.235024418437898,0.146708612717901,0.0,1,6.498841171300387
0.0316,13.5,13.4971603275486,0.272677668932422,0.15841389806035,0.0,0,-6.748580163774712
0.0316,13.5,13.4971603275486,0.272677668932422,0.15841389806035,0.0,1,6.748580163774712
0.0316,14.0,13.9968689073123,0.226412498182889,0.12980216513061,0.0,0,-6.998434453656845
0.0316,14.0,13.9968689073123,0.226412498182889,0.12980216513061,0.0,1,6.998434453656846
0.0316,14.5,14.4979074994986,0.236179374074384,0.14473073192331,0.0,0,-7.248953749749993
0.0316,14.5,14.4979074994986,0.236179374074384,0.14473073192331,0.0,1,7.248953749749994
0.0316,15.0,14.9974443613515,0.272678812269811,0.158410975566773,0.0,0,-7.498722180676348
0.0316,15.0,14.9974443613515,0.272678812269811,0.158410975566773,0.0,1,7.498722180676348
0.0316,15.5,15.4979961804927,0.239481230058821,0.143717508203605,0.0,0,-7.7489980902471896
0.0316,15.5,15.4979961804927,0.239481230058821,0.143717508203605,0.0,1,7.748998090247188
0.0316,16.0,15.9976048475737,0.272680206335489,0.158410274948613,0.0,0,-7.9988024237875734
0.0316,16.0,15.9976048475737,0.272680206335489,0.158410274948613,0.0,1,7.998802423787574
0.0316,16.5,16.4976775367307,0.27268084077921,0.158409493608341,0.0,0,-8.248838768366127
0.0316,16.5,16.4976775367307,0.27268084077921,0.158409493608341,0.0,1,8.248838768366141
0.0316,17.0,16.9977459589798,0.272678072198931,0.15840604550486,0.0,0,-8.49887297949076
0.0316,17.0,16.9977459589798,0.272678072198931,0.15840604550486,0.0,1,8.498872979490757
0.0316,17.5,17.4978078565414,0.272680847193895,0.158407655928023,0.0,0,-8.748903928271659
0.0316,17.5,17.4978078565414,0.272680847193895,0.158407655928023,0.0,1,8.74890392827166
0.0316,18.0,17.9978709061476,0.272679356272963,0.158406082642232,0.0,0,-8.998935453074818
0.0316,18.0,17.9978709061476,0.272679356272963,0.158406082642232,0.0,1,8.998935453074816
0.0316,18.5,18.497927706445,0.272682079678719,0.158407034570374,0.0,0,-9.248963853223612
0.0316,18.5,18.497927706445,0.272682079678719,0.158407034570374,0.0,1,9.248963853223614
0.0316,19.0,18.9979825356295,0.272681598898694,0.158405750560692,0.0,0,-9.498991267815958
0.0316,19.0,18.9979825356295,0.272681598898694,0.158405750560692,0.0,1,9.49899126781596
0.0316,19.5,19.4980353011556,0.272682895378028,0.158405961802075,0.0,0,-9.749017650579109
0.0316,19.5,19.4980353011556,0.272682895378028,0.158405961802075,0.0,1,9.74901765057911
0.0316,20.0,19.9980840118006,0.272681659395119,0.158404084231034,0.0,0,-9.99904200590171
0.0316,20.0,19.9980840118006,0.272681659395119,0.158404084231034,0.0,1,9.99904200590171
0.0316,20.5,20.4981302193942,0.272682326424362,0.158405471155464,0.0,0,-10.249065109698613
0.0316,20.5,20.4981302193942,0.272682326424362,0.158405471155464,0.0,1,10.249065109698613
0.0316,21.0,20.9981751319903,0.272680735856029,0.158402982572131,0.0,0,-10.49908756599677
0.0316,21.0,20.9981751319903,0.272680735856029,0.158402982572131,0.0,1,10.499087565996769
0.0316,21.5,21.4982170771595,0.272681390346675,0.158403158620205,0.0,0,-10.749108538581483
0.0316,21.5,21.4982170771595,0.272681390346675,0.158403158620205,0.0,1,10.749108538581483
0.0316,22.0,21.9982561382489,0.272683998579137,0.158405482388798,0.0,0,-10.999128069126323
0.0316,22.0,21.9982561382489,0.272683998579137,0.158405482388798,0.0,1,10.999128069126323
0.0316,22.5,22.4982962591988,0.272678237535961,0.158400341356413,0.0,0,-11.24914812960139
0.0316,22.5,22.4982962591988,0.272678237535961,0.158400341356413,0.0,1,11.249148129601393
0.0316,23.0,22.9983338407917,0.272695285880824,0.158411831437267,0.0,0,-11.499166920397986
0.0316,23.0,22.9983338407917,0.272695285880824,0.158411831437267,0.0,1,11.499166920397984
0.0316,23.5,23.4983683547896,0.272674768702502,0.158394427310221,0.0,0,-11.749184177397082
0.0316,23.5,23.4983683547896,0.272674768702502,0.158394427310221,0.0,1,11.749184177397083
0.0316,24.0,23.9984056902927,0.27265640126337,0.158379016173468,0.0,0,-11.99920284514878
0.0316,24.0,23.9984056902927,0.27265640126337,0.158379016173468,0.0,1,11.99920284514878
0.0316,24.5,24.498434713179,0.272722755385385,0.158436528704334,0.0,0,-12.249217356592085
